source,model,reference,hypothesis,wer,cer
fleurs_hi,deepgram,kucha anuom mem asthira kemdraka hota hai jisaka matalaba yaha hai ki unamem tho.de ya bina kisi jhatake se tutane ki pravrritti hoti hai,"kucha anuom mem asthira kemdra hota hai, jisaka matalaba yaha ki unamem tho.de ya bina kisi jhatake se tutane ki pravrritti hoti hai.",0.08333333333333333,0.04411764705882353
fleurs_hi,whisper,kucha anuom mem asthira kemdraka hota hai jisaka matalaba yaha hai ki unamem tho.de ya bina kisi jhatake se tutane ki pravrritti hoti hai,kucha anuvom mem arastira kemdraka hota hai jisaka matalaba yaham ki una mem tho.de ya bina kisi jatake se tutane ki pravatti hoti hai,0.3333333333333333,0.09558823529411764
fleurs_hi,sarvam,kucha anuom mem asthira kemdraka hota hai jisaka matalaba yaha hai ki unamem tho.de ya bina kisi jhatake se tutane ki pravrritti hoti hai,kucha anuom mem asthira kemdraka hota hai jisaka matalaba yaha ki unamem tho.de ya bina kisi jhatake se tutane ki pravrritti hoti hai|,0.041666666666666664,0.029411764705882353
fleurs_hi,deepgram,grinalaimda ko bahuta kama jagaha basaya gaya tha naॉrsa sagasa mem ve kahate haim ki erika reda hatya ke lie aisalaimda se nirvasita kiya gaya tha aura age pashchima ki yatra karate samaya grinalaimda mila jise grinalaimda nama diya gaya,greenland ko bahuta kama jagaha basaya gaya tha. naurasa saugata samaya ve kahate haim ki erich red hatya ke lie island se nirvasita kiya gaya tha aura age pashchima ki yatra karate samaya greenland mila jise greenland nama diya gaya.,0.225,0.14767932489451477
fleurs_hi,whisper,grinalaimda ko bahuta kama jagaha basaya gaya tha naॉrsa sagasa mem ve kahate haim ki erika reda hatya ke lie aisalaimda se nirvasita kiya gaya tha aura age pashchima ki yatra karate samaya grinalaimda mila jise grinalaimda nama diya gaya,grinalemda ko bahuta kama jagaba basaya gaya tha naursa sagasa mem ve kahate haim ki erika reda hatya ke lie aisalemda se nirvasita kiya gaya tha aura age pashchama ki yatraka karate samaya grinalemda mila jise grinalemda nama diya gaya,0.2,0.05485232067510549
fleurs_hi,sarvam,grinalaimda ko bahuta kama jagaha basaya gaya tha naॉrsa sagasa mem ve kahate haim ki erika reda hatya ke lie aisalaimda se nirvasita kiya gaya tha aura age pashchima ki yatra karate samaya grinalaimda mila jise grinalaimda nama diya gaya,grinalaimda ko bahuta kama jagaha basaya gaya tha| naॉrsa sagasa mem ve kahate haim ki erika reda hatya ke lie aisalaimda se nirvasita kiya gaya tha aura age pashchima ki yatra karate samaya grinalaimda mila jise grinalaimda nama diya gaya|,0.0,0.0
fleurs_hi,deepgram,aisi koi vaishvika paribhasha nahim hai jisake lie nirmita samana emtika hote haim kucha kara ejemsiyam 100 sala se purane samana ko emtika ke taura para paribhashita karati haim,"aisi koi vaishvika paribhasha nahim hai, jisake lie nirmita samana antique hote haim, kucha kara ejemsiyam sau sala se purane samana ko antique ke taura para paribhashita karati haim.",0.10344827586206896,0.07303370786516854
fleurs_hi,whisper,aisi koi vaishvika paribhasha nahim hai jisake lie nirmita samana emtika hote haim kucha kara ejemsiyam 100 sala se purane samana ko emtika ke taura para paribhashita karati haim,aisi koi vaispika parivasha nahim hai jisake lie nirmita samana emtika hote haim kucha kara ejemshiya shava sala se purane samana ko emtika ke taura para parivashita karati hai,0.20689655172413793,0.07865168539325842
fleurs_hi,sarvam,aisi koi vaishvika paribhasha nahim hai jisake lie nirmita samana emtika hote haim kucha kara ejemsiyam 100 sala se purane samana ko emtika ke taura para paribhashita karati haim,aisi koi vaishvika paribhasha nahim hai jisake lie nirmita samana emtika hote haim| kucha kara ejemsiyam sau sala se purane samana ko emtika ke taura para paribhashita karati haim|,0.034482758620689655,0.016853932584269662
fleurs_hi,deepgram,telivijana riportom mem plamta se nikalane vala sapheda dhuam dikhaya gaya hai,telivijana riportom mem plant se nikalane vala sapheda dhuam dikhaya gaya hai.,0.08333333333333333,0.02564102564102564
